📺央视频道,#genre#
CCTV1,rtp://239.29.0.113:5000
CCTV2,rtp://239.29.0.116:5000
CCTV3,rtp://239.29.1.133:5000
CCTV4,rtp://239.29.0.87:5000
CCTV4欧洲,rtp://239.29.1.144:5000
CCTV4美洲,rtp://239.29.1.142:5000
CCTV5,rtp://239.29.1.134:5000
CCTV5+,rtp://239.29.1.10:5001
CCTV6,rtp://239.29.1.135:5000
CCTV7,rtp://239.29.0.117:5000
CCTV8,rtp://239.29.1.136:5000
CCTV9,rtp://239.29.0.118:5000
CCTV10,rtp://239.29.0.119:5000
CCTV11,rtp://239.29.0.205:5000
CCTV12,rtp://239.29.0.120:5000
CCTV13,rtp://239.29.1.123:5000
CCTV14,rtp://239.29.0.121:5000
CCTV15,rtp://239.29.0.206:5000
CCTV16,rtp://239.29.1.146:5000
CCTV16 4K,rtp://239.29.1.149:5000
CCTV17,rtp://239.29.1.145:5000
CETV1,rtp://239.29.0.95:5000
CETV2,rtp://239.29.0.139:5000
CGTN,rtp://239.29.1.143:5000
XHTV,rtp://239.29.0.187:5000
ELTV,rtp://239.29.1.113:5000
北京卫视,rtp://239.29.0.108:5000
天津卫视,rtp://239.29.0.98:5000
湖南卫视,rtp://239.29.0.90:5000
湖北卫视,rtp://239.29.0.107:5000
东方卫视,rtp://239.29.0.97:5000
江苏卫视,rtp://239.29.0.102:5000
浙江卫视,rtp://239.29.0.96:5000
山东卫视,rtp://239.29.0.106:5000
安徽卫视,rtp://239.29.0.81:5000
东南卫视,rtp://239.29.0.103:5000
江西卫视,rtp://239.29.0.125:5000
广东卫视,rtp://239.29.0.123:5000
辽宁卫视,rtp://239.29.0.109:5000
吉林卫视,rtp://239.29.1.125:5000
贵州卫视,rtp://239.29.0.104:5000
四川卫视,rtp://239.29.0.100:5000
深圳卫视,rtp://239.29.0.105:5000
重庆卫视,rtp://239.29.0.99:5000
河北卫视,rtp://239.29.0.124:5000
海南卫视,rtp://239.29.1.126:5000
甘肃卫视,rtp://239.29.1.124:5000
黑龙江卫视,rtp://239.29.0.91:5000
河南卫视,rtp://239.29.1.69:5001
广西卫视,rtp://239.29.1.57:5001
云南卫视,rtp://239.29.0.76:5000
山西卫视,rtp://239.29.1.55:5001
陕西卫视,rtp://239.29.1.86:5001
宁夏卫视,rtp://239.29.0.80:5000
青海卫视,rtp://239.29.1.87:5001
西藏卫视,rtp://239.29.1.79:5001
新疆卫视,rtp://239.29.1.59:5001
兵团卫视,rtp://239.29.1.34:5001
山东教育,rtp://239.29.1.96:5001
三沙卫视,rtp://239.29.1.121:5000
延边卫视,rtp://239.29.0.133:5000
农林卫视,rtp://239.29.0.129:5000
纪实人文,rtp://239.29.0.101:5000
嘉佳卡通,rtp://239.29.0.126:5000
优漫卡通,rtp://239.29.0.127:5000
哈哈炫动,rtp://239.29.0.128:5000
爱上4K,rtp://239.29.0.169:5000
欢笑剧场4K,rtp://239.29.1.114:5000
欢笑剧场,rtp://239.29.0.200:5000
全纪实,rtp://239.29.0.202:5000
法制天地,rtp://239.29.0.196:5000
游戏风云,rtp://239.29.0.197:5000
冬奥纪实,rtp://239.29.0.110:5000
金鹰纪实,rtp://239.29.0.92:5000
都市剧场,rtp://239.29.0.198:5000
金色频道,rtp://239.29.0.195:5000
极速汽车,rtp://239.29.0.199:5000
时尚生活,rtp://239.29.0.201:5000
动漫秀场,rtp://239.29.0.203:5000
动画,rtp://239.29.1.38:5001
精选,rtp://239.29.1.77:5001
地理,rtp://239.29.1.46:5001
足球,rtp://239.29.0.142:5000
星影,rtp://239.29.1.62:5001
早教,rtp://239.29.1.61:5001
光影,rtp://239.29.1.32:5001
墨宝,rtp://239.29.0.140:5000
美人,rtp://239.29.0.136:5000
鉴赏,rtp://239.29.0.137:5000
好学生,rtp://239.29.1.49:5001
爱生活,rtp://239.29.1.94:5001
IPTV3+,rtp://239.29.1.18:5001
IPTV5+,rtp://239.29.1.10:5001
IPTV6+,rtp://239.29.1.20:5001
IPTV8+,rtp://239.29.1.21:5001
IPTV野外,rtp://239.29.1.25:5001
IPTV法制,rtp://239.29.1.22:5001
谍战剧场,rtp://239.29.1.24:5001
城市剧场,rtp://239.29.1.47:5001
古装剧场,rtp://239.29.1.42:5001
武侠剧场,rtp://239.29.1.65:5001
动作影院,rtp://239.29.1.36:5001
军旅剧场,rtp://239.29.1.35:5001
喜剧影院,rtp://239.29.1.44:5001
家庭影院,rtp://239.29.1.52:5001
音乐现场,rtp://239.29.1.88:5001
少儿动画,rtp://239.29.1.53:5001
金鹰卡通,rtp://239.29.1.85:5001
卡酷少儿,rtp://239.29.1.41:5001
相声小品,rtp://239.29.1.23:5001
七彩戏剧,rtp://239.29.1.26:5001
东方财经,rtp://239.29.1.29:5001
收视指南,rtp://239.29.1.58:5001
热播剧场,rtp://239.29.1.75:5001
经典电影,rtp://239.29.1.78:5001
魅力时尚,rtp://239.29.1.89:5001
